T01n0001    長阿含經【後秦 佛陀耶舍共竺佛念譯】
T18n0893b   3  蘇悉地羯羅經【唐 輸波迦羅譯】
T18n0893c   3  蘇悉地羯羅經【唐 輸波迦羅譯】
T18n0894a   3  蘇悉地羯羅供養法【唐 善無畏譯】
T18n0894b   2  蘇悉地羯羅供養法【唐 善無畏譯】
T18n0895a   3  蘇婆呼童子請問經【唐 輸波迦羅譯】
T18n0895b   2  蘇婆呼童子請問經【唐 輸波迦羅譯】
T18n0896    4  妙臂菩薩所問經【宋 法天譯】
T18n0897    3  蕤呬耶經【唐 不空譯】
T18n0898    1  佛說毘奈耶經【】
T18n0899    1  清淨法身毘盧遮那心地法門成就一切陀羅尼三種悉地【】
T18n0900    1  十八契印【唐 惠果造】
T18n0901   12  陀羅尼集經【唐 阿地瞿多譯】
T18n0902    1  總釋陀羅尼義讚【唐 不空譯】
T18n0903    1  都部陀羅尼目【唐 不空譯】
T18n0904    1  念誦結護法普通諸部【唐 金剛智述】
T18n0905    1  三種悉地破地獄轉業障出三界祕密陀羅尼法【唐 善無畏譯】
T18n0906    1  佛頂尊勝心破地獄轉業障出三界祕密三身佛果三種悉地真言儀軌【唐 善無畏譯】
T18n0907    1  佛頂尊勝心破地獄轉業障出三界祕密陀羅尼【唐 善無畏譯】
T18n0908    1  金剛頂瑜伽護摩儀軌【唐 不空譯】
T18n0909    1  金剛頂瑜伽護摩儀軌【唐 不空譯】
T18n0910    1  梵天擇地法【】
T18n0911    1  建立曼荼羅及揀擇地法【唐 慧琳集】
T18n0912    1  建立曼荼羅護摩儀軌【】
T18n0913    1  火[合*牛]供養儀軌【】
T18n0914    1  火吽軌別錄【】
T18n0915    1  受菩提心戒儀【唐 不空譯】
T18n0916    1  受五戒八戒文【】
T18n0917    1  無畏三藏禪要【】
T19n0918    1  諸佛心陀羅尼經【唐 玄奘譯】
T19n0919    1  諸佛心印陀羅尼經【宋 法天譯】
T19n0920    2  佛心經【唐 菩提流志譯】
T19n0921    1  阿閦如來念誦供養法【唐 不空譯】
T19n0922    1  藥師琉璃光如來消災除難念誦儀軌【唐 一行撰】
T19n0923    1  藥師如來觀行儀軌法【唐 金剛智譯】
T19n0924A   1  藥師如來念誦儀軌【唐 不空譯】
T19n0924B   1  藥師如來念誦儀軌【唐 不空譯】
T19n0924C   1  藥師儀軌一具【】
T19n0925    2  藥師琉璃光王七佛本願功德經念誦儀軌【元 沙囉巴譯】
T19n0926    1  藥師琉璃光王七佛本願功德經念誦儀軌供養法【元 沙囉巴譯】
T19n0927    1  藥師七佛供養儀軌如意王經【清 工布查布譯】
T19n0928    1  修藥師儀軌布壇法【清 阿旺扎什補譯】
T19n0929    1  淨瑠璃淨土摽【】
T19n0930    1  無量壽如來觀行供養儀軌【唐 不空譯】
T19n0931    1  金剛頂經觀自在王如來修行法【唐 不空譯】
T19n0932    1  金剛頂經瑜伽觀自在王如來修行法【唐 金剛智譯】
T19n0933    1  九品往生阿彌陀三摩地集陀羅尼經【唐 不空譯】
T19n0934    1  佛說無量功德陀羅尼經【宋 法賢譯】
T19n0935    1  極樂願文【清 達喇嘛嘎卜楚薩木丹達爾吉譯】
T19n0936    1  大乘無量壽經【唐 法成譯】
T19n0937    1  佛說大乘聖無量壽決定光明王如來陀羅尼經【宋 法天譯】
T19n0938    1  釋迦文尼佛金剛一乘修行儀軌法品【】
T19n0939    2  佛說大乘觀想曼拏羅淨諸惡趣經【宋 法賢譯】
T19n0940    1  佛說帝釋巖祕密成就儀軌【宋 施護譯】
T19n0941    1  釋迦牟尼佛成道在菩提樹降魔讚【】
T19n0942    1  釋迦佛讚【清 達喇嘛薩穆丹達爾吉譯】
T19n0943    1  佛說無能勝幡王如來莊嚴陀羅尼經【宋 施護譯】
T19n0944A   1  大佛頂如來放光悉怛多鉢怛囉陀羅尼【唐 不空譯】
T19n0944B   1  大佛頂大陀羅尼【】
T19n0945   10  大佛頂如來密因修證了義諸菩薩萬行首楞嚴經【唐 般剌蜜帝譯】
T19n0946    4  大佛頂廣聚陀羅尼經【】
T19n0947    1  大佛頂如來放光悉怛多般怛羅大神力都攝一切呪王陀羅尼經大威德最勝金輪三昧呪品【】
T19n0948    1  金輪王佛頂要略念誦法【唐 不空譯】
T19n0949    1  奇特最勝金輪佛頂念誦儀軌法要【】
T19n0950    5  菩提場所說一字頂輪王經【唐 不空譯】
T19n0951    5  一字佛頂輪王經【唐 菩提流志譯】
T19n0952    4  五佛頂三昧陀羅尼經【唐 菩提流志譯】
T19n0953    3  一字奇特佛頂經【唐 不空譯】
T19n0954A   1  一字頂輪王念誦儀軌【唐 不空譯】
T19n0954B   1  一字頂輪王念誦儀軌【】
T19n0955    1  一字頂輪王瑜伽觀行儀軌【唐 不空譯】
T19n0956    1  大陀羅尼末法中一字心呪經【唐 寶思惟譯】
T19n0957    1  金剛頂一字頂輪王瑜伽一切時處念誦成佛儀軌【唐 不空譯】
T19n0958    1  金剛頂經一字頂輪王儀軌音義【唐 不空譯】
T19n0959    1  頂輪王大曼荼羅灌頂儀軌【唐 辯弘集】
T19n0960    1  一切如來說佛頂輪王一百八名讚【宋 施護譯】
T19n0961    1  如意寶珠轉輪祕密現身成佛金輪呪王經【唐 不空譯】
T19n0962    1  寶悉地成佛陀羅尼經【唐 不空譯】
T19n0963    1  佛說熾盛光大威德消災吉祥陀羅尼經【唐 不空譯】
T19n0964    1  佛說大威德金輪佛頂熾盛光如來消除一切災難陀羅尼經【失譯】
T19n0965    1  大妙金剛大甘露軍拏利焰鬘熾盛佛頂經【唐 達磨栖那譯】
T19n0966    1  大聖妙吉祥菩薩說除災教令法輪【】
T19n0967    1  佛頂尊勝陀羅尼經【唐 佛陀波利譯】
T19n0968    1  佛頂尊勝陀羅尼經【唐 杜行顗譯】
T19n0969    1  佛頂最勝陀羅尼經【唐 地婆訶羅譯】
T19n0970    1  最勝佛頂陀羅尼淨除業障呪經【唐 地婆訶羅譯】
T19n0971    1  佛說佛頂尊勝陀羅尼經【唐 義淨譯】
T19n0972    1  佛頂尊勝陀羅尼念誦儀軌法【唐 不空譯】
T19n0973    2  尊勝佛頂脩瑜伽法軌儀【唐 善無畏譯】
T19n0974A   1  最勝佛頂陀羅尼經【宋 法天譯】
T19n0974B   1  佛頂尊勝陀羅尼【】
T19n0974C   1  加句靈驗佛頂尊勝陀羅尼記【唐 武徹述】
T19n0974D   1  佛頂尊勝陀羅尼注義【唐 不空譯】
T19n0974E   1  佛頂尊勝陀羅尼真言【】
T19n0974F   1  佛頂尊勝陀羅尼別法【唐 若那譯】
T19n0975    1  白傘蓋大佛頂王最勝無比大威德金剛無礙大道場陀羅尼念誦法要【】
T19n0976    1  佛頂大白傘蓋陀羅尼經【元 沙囉巴譯】
T19n0977    1  佛說大白傘蓋總持陀羅尼經【元 真智等譯】
T19n0978    1  佛說一切如來烏瑟膩沙最勝總持經【宋 法天譯】
T19n0979    1  于瑟抳沙毘左野陀囉尼【高麗 指空譯】
T19n0980    1  大勝金剛佛頂念誦儀軌【唐 金剛智譯】
T19n0981    1  大毘盧遮那佛眼修行儀軌【唐 一行記】
T19n0982    3  佛母大孔雀明王經【唐 不空譯】
T19n0983A   1  佛說大孔雀明王畫像壇場儀軌【唐 不空譯】
T19n0983B   1  孔雀經真言等梵本【唐 圓仁請來】
T19n0984    2  孔雀王呪經【梁 僧伽婆羅譯】
T19n0985    3  佛說大孔雀呪王經【唐 義淨譯】
T19n0986    1  大金色孔雀王呪經【失譯】
T19n0987    1  佛說大金色孔雀王呪經【失譯】
T19n0988    1  孔雀王呪經【姚秦 鳩摩羅什譯】
T19n0989    2  大雲輪請雨經【唐 不空譯】
T19n0990    1  大雲經祈雨壇法【唐 不空譯】
T19n0991    2  大雲輪請雨經【隋 那連提耶舍譯】
T19n0992    1  大方等大雲經請雨品第六十四【北周 闍那耶舍譯】
T19n0993    1  大雲經請雨品第六十四【北周 闍那耶舍譯】
T19n0994    1  仁王護國般若波羅蜜多經陀羅尼念誦儀軌【唐 不空譯】
T19n0995    1  仁王般若念誦法【唐 不空譯】
T19n0996    1  仁王般若陀羅尼釋【唐 不空譯】
T19n0997   10  守護國界主陀羅尼經【唐 般若共牟尼室利譯】
T19n0998    1  佛說迴向輪經【唐 尸羅達摩譯】
T19n0999    3  佛說守護大千國土經【宋 施護譯】
T19n1000    1  成就妙法蓮華經王瑜伽觀智儀軌【唐 不空譯】
T19n1001    1  法華曼荼羅威儀形色法經【唐 不空譯】
T19n1002    1  不空羂索毘盧遮那佛大灌頂光真言【唐 不空譯】
T19n1003    2  大樂金剛不空真實三昧耶經般若波羅蜜多理趣釋【唐 不空譯】
T19n1004    1  般若波羅蜜多理趣經大樂不空三昧真實金剛薩埵菩薩等一十七聖大曼荼羅義述【唐 不空譯】
T19n1005A   3  大寶廣博樓閣善住祕密陀羅尼經【唐 不空譯】
T19n1005B   1  寶樓閣經梵字真言【】
T19n1006    3  廣大寶樓閣善住祕密陀羅尼經【唐 菩提流志譯】
T19n1007    1  牟梨曼陀羅呪經【失譯】
T19n1008    1  菩提場莊嚴陀羅尼經【唐 不空譯】
T19n1009    1  出生無邊門陀羅尼經【唐 不空譯】
T19n1010    1  佛說出生無邊門陀羅尼儀軌【唐 不空譯】
T19n1011    1  佛說無量門微密持經【吳 支謙譯】
T19n1012    1  佛說出生無量門持經【東晉 佛陀跋陀羅譯】
T19n1013    1  阿難陀目佉尼呵離陀經【劉宋 求那跋陀羅譯】
T19n1014    1  無量門破魔陀羅尼經【劉宋 功德直．玄暢譯】
T19n1015    1  佛說阿難陀目佉尼呵離陀隣尼經【元魏 佛馱扇多譯】
T19n1016    1  舍利弗陀羅尼經【梁 僧伽婆羅譯】
T19n1017    1  佛說一向出生菩薩經【隋 闍那崛多譯】
T19n1018    1  出生無邊門陀羅尼經【唐 智嚴譯】
T19n1019    1  大方廣佛華嚴經入法界品四十二字觀門【唐 不空譯】
T19n1020    1  大方廣佛花嚴經入法界品頓證毘盧遮那法身字輪瑜伽儀軌【唐 不空譯】
T19n1021    1  華嚴經心陀羅尼【】
T19n1022A   1  一切如來心祕密全身舍利寶篋印陀羅尼經【唐 不空譯】
T19n1022B   1  一切如來心祕密全身舍利寶篋印陀羅尼經【唐 不空譯】
T19n1023    1  一切如來正法祕密篋印心陀羅尼經【宋 施護譯】
T19n1024    1  無垢淨光大陀羅尼經【唐 彌陀山譯】
T19n1025    2  佛頂放無垢光明入普門觀察一切如來心陀羅尼經【宋 施護譯】
T19n1026    1  佛說造塔延命功德經【唐 般若譯】
T19n1027a   1  金剛光焰止風雨陀羅尼經【唐 菩提流志譯】
T19n1027b   1  金剛光焰止風雨陀羅尼經【唐 菩提流志譯】
T19n1028A   1  佛說護諸童子陀羅尼經【元魏 菩提流支譯】
T19n1028B   1  童子經念誦法【唐 善無畏譯】
T19n1029    1  佛說安宅陀羅尼呪經【】
T20n1030    1  觀自在大悲成就瑜伽蓮華部念誦法門【唐 不空譯】
T20n1031    1  聖觀自在菩薩心真言瑜伽觀行儀軌【唐 不空譯】
T20n1032    1  瑜伽蓮華部念誦法【唐 不空譯】
T20n1033    1  金剛恐怖集會方廣軌儀觀自在菩薩三世最勝心明王經【唐 不空譯】
T20n1034    1  呪五首【唐 玄奘譯】
T20n1035    1  千轉陀羅尼觀世音菩薩呪【唐 智通譯】
T20n1036    1  千轉大明陀羅尼經【宋 施護譯】
T20n1037    1  觀自在菩薩說普賢陀羅尼經【唐 不空譯】
T20n1038    1  清淨觀世音普賢陀羅尼經【唐 智通譯】
T20n1039    1  阿唎多羅陀羅尼阿嚕力經【唐 不空譯】
T20n1040    1  金剛頂降三世大儀軌法王教中觀自在菩薩心真言一切如來蓮華大曼荼羅品【唐 不空譯】
T20n1041    1  觀自在菩薩心真言一印念誦法【唐 不空譯】
T20n1042    1  觀自在菩薩大悲智印周遍法界利益眾生薰真如法【唐 不空譯】
T20n1043    1  請觀世音菩薩消伏毒害陀羅尼呪經【東晉 難提譯】
T20n1044    1  佛說六字呪王經【失譯】
T20n1045a   1  佛說六字神呪王經【失譯】
T20n1045b   1  六字神呪王經【失譯】
T20n1046    1  六字大陀羅尼呪經【失譯】
T20n1047    1  佛說聖六字大明王陀羅尼經【宋 施護譯】
T20n1048    1  佛說大護明大陀羅尼經【宋 法天譯】
T20n1049    1  聖六字增壽大明陀羅尼經【宋 施護譯】
T20n1050    4  佛說大乘莊嚴寶王經【宋 天息災譯】
T20n1051    1  佛說一切佛攝相應大教王經聖觀自在菩薩念誦儀軌【宋 法賢譯】
T20n1052    1  讚觀世音菩薩頌【唐 慧智譯】
T20n1053    1  聖觀自在菩薩功德讚【宋 施護譯】
T20n1054    1  聖觀自在菩薩一百八名經【宋 天息災譯】
T20n1055    1  佛說聖觀自在菩薩梵讚【宋 法賢譯】
T20n1056    2  金剛頂瑜伽千手千眼觀自在菩薩修行儀軌經【唐 不空譯】
T20n1057a   2  千眼千臂觀世音菩薩陀羅尼神呪經【唐 智通譯】
T20n1057b   2  千眼千臂觀世音菩薩陀羅尼神呪經【唐 智通譯】
T20n1058    1  千手千眼觀世音菩薩姥陀羅尼身經【唐 菩提流志譯】
T20n1059    1  千手千眼觀世音菩薩治病合藥經【唐 伽梵達摩譯】
T20n1060    1  千手千眼觀世音菩薩廣大圓滿無礙大悲心陀羅尼經【唐 伽梵達摩譯】
T20n1061    1  千手千眼觀自在菩薩廣大圓滿無礙大悲心陀羅尼呪本【唐 金剛智譯】
T20n1062A   1  千手千眼觀世音菩薩大身呪本【唐 金剛智譯】
T20n1062B   1  世尊聖者千眼千首千足千舌千臂觀自在菩提薩埵怛嚩廣大圓滿無礙大悲心陀羅尼【】
T20n1063    1  番大悲神呪【】
T20n1064    1  千手千眼觀世音菩薩大悲心陀羅尼【唐 不空譯】
T20n1065    1  千光眼觀自在菩薩祕密法經【唐 三昧蘇嚩羅譯】
T20n1066    1  大悲心陀羅尼修行念誦略儀【唐 不空譯】
T20n1067    1  攝無礙大悲心大陀羅尼經計一法中出無量義南方滿願補陀落海會五部諸尊等弘誓力方位及威儀形色執持三摩耶幖幟曼荼羅儀軌【唐 不空譯】
T20n1068    1  千手觀音造次第法儀軌【唐 善無畏譯】
T20n1069    3  十一面觀自在菩薩心密言念誦儀軌經【唐 不空譯】
T20n1070    1  佛說十一面觀世音神呪經【北周 耶舍崛多譯】
T20n1071    1  十一面神呪心經【唐 玄奘譯】
T20n1072A   2  聖賀野紇哩縛大威怒王立成大神驗供養念誦儀軌法品【唐 不空譯】
T20n1072B   1  馬頭觀音心陀羅尼【】
T20n1073    1  何耶揭唎婆像法【】
T20n1074    1  何耶揭唎婆觀世音菩薩受法壇【】
T20n1075    1  佛說七俱胝佛母准提大明陀羅尼經【唐 金剛智譯】
T20n1076    1  七俱胝佛母所說准提陀羅尼經【唐 不空譯】
T20n1077    1  佛說七俱胝佛母心大准提陀羅尼經【唐 地婆訶羅譯】
T20n1078    1  七佛俱胝佛母心大准提陀羅尼法【唐 善無畏譯】
T20n1079    1  七俱胝獨部法【唐 善無畏譯】
T20n1080    1  如意輪陀羅尼經【唐 菩提流志譯】
T20n1081    1  佛說觀自在菩薩如意心陀羅尼呪經【唐 義淨譯】
T20n1082    1  觀世音菩薩祕密藏如意輪陀羅尼神呪經【唐 實叉難陀譯】
T20n1083    1  觀世音菩薩如意摩尼陀羅尼經【唐 寶思惟譯】
T20n1084    1  觀世音菩薩如意摩尼輪陀羅尼念誦法【唐 寶思惟譯】
T20n1085    1  觀自在菩薩如意輪念誦儀軌【唐 不空譯】
T20n1086    1  觀自在菩薩如意輪瑜伽【唐 不空譯】
T20n1087    1  觀自在如意輪菩薩瑜伽法要【唐 金剛智譯】
T20n1088    1  如意輪菩薩觀門義注祕訣【】
T20n1089    1  都表如意摩尼轉輪聖王次第念誦祕密最要略法【唐 解脫師子譯】
T20n1090    1  佛說如意輪蓮華心如來修行觀門儀【宋 慈賢譯】
T20n1091    1  七星如意輪祕密要經【唐 不空譯】
T20n1092   30  不空羂索神變真言經【唐 菩提流志譯】
T20n1093    1  不空羂索呪經【隋 闍那崛多譯】
T20n1094    1  不空羂索神呪心經【唐 玄奘譯】
T20n1095    1  不空羂索呪心經【唐 菩提流志譯】
T20n1096    1  不空羂索陀羅尼經【唐 李無諂譯】
T20n1097    3  不空羂索陀羅尼自在王呪經【唐 寶思惟譯】
T20n1098    2  佛說不空羂索陀羅尼儀軌經【唐 阿目佉譯】
T20n1099    1  佛說聖觀自在菩薩不空王祕密心陀羅尼經【宋 施護等譯】
T20n1100    1  葉衣觀自在菩薩經【唐 不空譯】
T20n1101    1  佛說大方廣曼殊室利經【唐 不空譯】
T20n1102    1  金剛頂經多羅菩薩念誦法【唐 不空譯】
T20n1103a   1  觀自在菩薩隨心呪經【唐 智通譯】
T20n1103b   1  觀自在菩薩怛嚩多唎隨心陀羅尼經【唐 智通譯】
T20n1104    1  佛說聖多羅菩薩經【宋 法賢譯】
T20n1105    1  聖多羅菩薩一百八名陀羅尼經【宋 法天譯】
T20n1106    1  讚揚聖德多羅菩薩一百八名經【宋 天息災譯】
T20n1107    1  聖多羅菩薩梵讚【宋 施護譯】
T20n1108A   1  聖救度佛母二十一種禮讚經【元 安藏譯】
T20n1108B   1  救度佛母二十一種禮讚經【】
T20n1109    1  白救度佛母讚【清 阿旺扎什譯】
T20n1110    1  佛說一髻尊陀羅尼經【唐 不空譯】
T20n1111    1  青頸觀自在菩薩心陀羅尼經【唐 不空注】
T20n1112    1  金剛頂瑜伽青頸大悲王觀自在念誦儀軌【唐 金剛智譯】
T20n1113A   1  觀自在菩薩廣大圓滿無礙大悲心陀羅尼【高麗 指空校】
T20n1113B   1  大慈大悲救苦觀世音自在王菩薩廣大圓滿無礙自在青頸大悲心陀羅尼【唐 不空譯】
T20n1114    1  毘俱胝菩薩一百八名經【宋 法天譯】
T20n1115    1  觀自在菩薩阿麼[齒*來]法【】
T20n1116    1  廣大蓮華莊嚴曼拏羅滅一切罪陀羅尼經【宋 施護譯】
T20n1117    1  佛說觀自在菩薩母陀羅尼經【宋 法賢譯】
T20n1118    1  佛說十八臂陀羅尼經【宋 法賢譯】
T20n1119    1  大樂金剛薩埵修行成就儀軌【唐 不空譯】
T20n1120A   1  金剛頂勝初瑜伽經中略出大樂金剛薩埵念誦儀【唐 不空譯】
T20n1120B   1  勝初瑜伽儀軌真言【唐 空海請來】
T20n1121    1  金剛頂普賢瑜伽大教王經大樂不空金剛薩埵一切時方成就儀【】
T20n1122    1  金剛頂瑜伽他化自在天理趣會普賢修行念誦儀軌【唐 不空譯】
T20n1123    1  金剛頂勝初瑜伽普賢菩薩念誦法【唐 不空譯】
T20n1124    1  普賢金剛薩埵略瑜伽念誦儀軌【唐 不空譯】
T20n1125    1  金剛頂瑜伽金剛薩埵五祕密修行念誦儀軌【唐 不空譯】
T20n1126    1  佛說普賢曼拏羅經【宋 施護譯】
T20n1127    1  佛說普賢菩薩陀羅尼經【宋 法天譯】
T20n1128    2  最上大乘金剛大教寶王經【宋 法天譯】
T20n1129    3  佛說金剛手菩薩降伏一切部多大教王經【宋 法天譯】
T20n1130    1  大乘金剛髻珠菩薩修行分【唐 菩提流志譯】
T20n1131    1  聖金剛手菩薩一百八名梵讚【宋 法賢譯】
T20n1132    1  金剛王菩薩祕密念誦儀軌【唐 不空譯】
T20n1133    1  金剛壽命陀羅尼念誦法【唐 不空譯】
T20n1134A   1  金剛壽命陀羅尼經法【唐 不空譯】
T20n1134B   1  金剛壽命陀羅尼經【唐 不空譯】
T20n1135    1  佛說一切如來金剛壽命陀羅尼經【唐 不空譯】
T20n1136    1  佛說一切諸如來心光明加持普賢菩薩延命金剛最勝陀羅尼經【唐 不空譯】
T20n1137    1  佛說善法方便陀羅尼經【失譯】
T20n1138a   1  金剛祕密善門陀羅尼呪經【失譯】
T20n1138b   1  金剛祕密善門陀羅尼經【失譯】
T20n1139    1  護命法門神呪經【唐 菩提流志譯】
T20n1140    1  佛說延壽妙門陀羅尼經【宋 法賢譯】
T20n1141    2  慈氏菩薩略修瑜伽念誦法【唐 善無畏譯】
T20n1142    1  佛說慈氏菩薩陀羅尼【宋 法賢譯】
T20n1143    1  佛說慈氏菩薩誓願陀羅尼經【宋 法賢譯】
T20n1144    1  佛說彌勒菩薩發願王偈【清 工布查布譯】
T20n1145    1  虛空藏菩薩能滿諸願最勝心陀羅尼求聞持法【唐 善無畏譯】
T20n1146    1  大虛空藏菩薩念誦法【唐 不空譯】
T20n1147    1  聖虛空藏菩薩陀羅尼經【宋 法天譯】
T20n1148    1  佛說虛空藏菩薩陀羅尼【宋 法賢譯】
T20n1149    1  五大虛空藏菩薩速疾大神驗祕密式經【唐 金剛智譯】
T20n1150    1  轉法輪菩薩摧魔怨敵法【唐 不空譯】
T20n1151    1  修習般若波羅蜜菩薩觀行念誦儀軌【唐 不空譯】
T20n1152    1  佛說佛母般若波羅蜜多大明觀想儀軌【宋 施護譯】
T20n1153    2  普遍光明清淨熾盛如意寶印心無能勝大明王大隨求陀羅尼經【唐 不空譯】
T20n1154    1  佛說隨求即得大自在陀羅尼神呪經【唐 寶思惟譯】
T20n1155    1  金剛頂瑜伽最勝祕密成佛隨求即得神變加持成就陀羅尼儀軌【唐 不空譯】
T20n1156A   1  大隨求即得大陀羅尼明王懺悔法【唐 惟謹述】
T20n1156B   1  宗叡僧正於唐國師所口受【】
T20n1157    1  香王菩薩陀羅尼呪經【唐 義淨譯】
T20n1158    1  地藏菩薩儀軌【唐 輸婆迦羅譯】
T20n1159A   1  [峚-大+(企-止)][囗@告]大道心驅策法【】
T20n1159B   1  佛說地藏菩薩陀羅尼經【】
T20n1160    1  日光菩薩月光菩薩陀羅尼【】
T20n1161    1  佛說觀藥王藥上二菩薩經【劉宋 畺良耶舍譯】
T20n1162    1  持世陀羅尼經【唐 玄奘譯】
T20n1163    1  佛說雨寶陀羅尼經【唐 不空譯】
T20n1164    1  佛說大乘聖吉祥持世陀羅尼經【宋 法天譯】
T20n1165    1  聖持世陀羅尼經【宋 施護譯】
T20n1166    1  馬鳴菩薩大神力無比驗法念誦軌儀【唐 金剛智譯】
T20n1167    1  八大菩薩曼荼羅經【唐 不空譯】
T20n1168A   1  佛說大乘八大曼拏羅經【宋 法賢譯】
T20n1168B   1  八曼荼羅經【】
T20n1169    4  佛說持明藏瑜伽大教尊那菩薩大明成就儀軌經【宋 法賢譯】
T20n1170    3  佛說金剛香菩薩大明成就儀軌經【宋 施護譯】
T20n1171    1  金剛頂經瑜伽文殊師利菩薩法【唐 不空譯】
T20n1172    1  金剛頂超勝三界經說文殊五字真言勝相【唐 不空譯】
T20n1173    1  金剛頂經曼殊室利菩薩五字心陀羅尼品【唐 金剛智譯】
T20n1174    1  五字陀羅尼頌【唐 不空譯】
T20n1175    1  金剛頂經瑜伽文殊師利菩薩供養儀軌【唐 不空譯】
T20n1176    1  曼殊室利童子菩薩五字瑜伽法【唐 不空譯】
T20n1177A  10  大乘瑜伽金剛性海曼殊室利千臂千鉢大教王經【唐 不空譯】
T20n1177B   1  千鉢文殊一百八名讚【唐 空海請來】
T20n1178    1  文殊菩薩獻佛陀羅尼名烏蘇吒【】
T20n1179    1  文殊師利菩薩六字呪功能法經【】
T20n1180    1  六字神呪經【唐 菩提流志譯】
T20n1181    1  大方廣菩薩藏經中文殊師利根本一字陀羅尼經【唐 寶思惟譯】
T20n1182    1  曼殊室利菩薩呪藏中一字呪王經【唐 義淨譯】
T20n1183    1  一髻文殊師利童子陀羅尼念誦儀軌【唐 金剛福壽譯】
T20n1184    1  大聖妙吉祥菩薩祕密八字陀羅尼修行曼荼羅次第儀軌法【唐 菩提仙譯】
T20n1185A   1  佛說文殊師利法寶藏陀羅尼經【唐 菩提流志譯】
T20n1185B   1  文殊師利寶藏陀羅尼經【唐 菩提流志譯】
T20n1186    1  佛說妙吉祥菩薩陀羅尼【宋 法賢譯】
T20n1187    2  佛說最勝妙吉祥根本智最上祕密一切名義三摩地分【宋 施護譯】
T20n1188    2  文殊所說最勝名義經【宋 金總持等譯】
T20n1189    1  佛說文殊菩薩最勝真實名義經【元 沙囉巴譯】
T20n1190    1  聖妙吉祥真實名經【元 釋智譯】
T20n1191   20  大方廣菩薩藏文殊師利根本儀軌經【宋 天息災譯】
T20n1192    5  妙吉祥平等祕密最上觀門大教王經【宋 慈賢譯】
T20n1193    1  妙吉祥平等瑜伽祕密觀身成佛儀軌【宋 慈賢譯】
T20n1194    1  妙吉祥平等觀門大教王經略出護摩儀【宋 慈賢譯】
T20n1195    1  大聖文殊師利菩薩讚佛法身禮【唐 不空譯】
T20n1196    1  曼殊室利菩薩吉祥伽陀【宋 法賢譯】
T20n1197    1  佛說文殊師利一百八名梵讚【宋 法天譯】
T20n1198    1  聖者文殊師利發菩提心願文【元 智慧譯】
T21n1199    1  金剛手光明灌頂經最勝立印聖無動尊大威怒王念誦儀軌法品【唐 不空譯】
T21n1200    1  底哩三昧耶不動尊威怒王使者念誦法【唐 不空譯】
T21n1201    3  底哩三昧耶不動尊聖者念誦祕密法【唐 不空譯】
T21n1202    1  不動使者陀羅尼祕密法【唐 金剛智譯】
T21n1203    1  聖無動尊安鎮家國等法【】
T21n1204    1  聖無動尊一字出生八大童子祕要法品【】
T21n1205    1  勝軍不動明王四十八使者祕密成就儀軌【唐 遍智集】
T21n1206    1  佛說俱利伽羅大龍勝外道伏陀羅尼經【】
T21n1207    1  說矩里迦龍王像法【】
T21n1208    1  俱力迦羅龍王儀軌【唐 金剛智譯】
T21n1209    1  金剛頂瑜伽降三世成就極深密門【唐 不空譯】
T21n1210    1  降三世忿怒明王念誦儀軌【唐 不空譯】
T21n1211    1  甘露軍荼利菩薩供養念誦成就儀軌【唐 不空譯】
T21n1212    1  西方陀羅尼藏中金剛族阿蜜哩多軍吒利法【唐 海雲記】
T21n1213    1  千臂軍荼利梵字真言【唐 義操記】
T21n1214    1  聖閻曼德迦威怒王立成大神驗念誦法【唐 不空譯】
T21n1215    1  大乘方廣曼殊室利菩薩華嚴本教閻曼德迦忿怒王真言大威德儀軌品【】
T21n1216    1  大方廣曼殊室利童真菩薩華嚴本教讚閻曼德迦忿怒王真言阿毘遮嚕迦儀軌品【】
T21n1217    3  佛說妙吉祥最勝根本大教經【宋 法賢譯】
T21n1218    1  文殊師利耶曼德迦呪法【唐 宗叡將來】
T21n1219    1  曼殊室利焰曼德迦萬愛祕術如意法【唐 一行撰】
T21n1220    1  金剛藥叉瞋怒王息災大威神驗念誦儀軌【唐 金剛智譯】
T21n1221    1  青色大金剛藥叉辟鬼魔法(亦名辟鬼殊法)【唐 空蜝述】
T21n1222a   3  聖迦柅忿怒金剛童子菩薩成就儀軌經【唐 不空譯】
T21n1222b   3  聖迦柅忿怒金剛童子菩薩成就儀軌經【唐 不空譯】
T21n1223    1  佛說無量壽佛化身大忿迅俱摩羅金剛念誦瑜伽儀軌法【唐 金剛智譯】
T21n1224    1  金剛童子持念經【】
T21n1225    1  大威怒烏芻澁麼儀軌經【唐 不空譯】
T21n1226    1  烏芻澁明王儀軌梵字【唐 空海請來】
T21n1227    3  大威力烏樞瑟摩明王經【唐 阿質達霰譯】
T21n1228    1  穢跡金剛說神通大滿陀羅尼法術靈要門【唐 阿質達霰譯】
T21n1229    1  穢跡金剛禁百變法經【唐 阿質達霰譯】
T21n1230    1  佛說大輪金剛總持陀羅尼經【】
T21n1231    1  大輪金剛修行悉地成就及供養法【】
T21n1232    1  播般曩結使波金剛念誦儀【】
T21n1233    1  佛說無能勝大明王陀羅尼經【宋 法天譯】
T21n1234    1  無能勝大明陀羅尼經【宋 法天譯】
T21n1235    1  無能勝大明心陀羅尼經【宋 法天譯】
T21n1236    1  聖無能勝金剛火陀羅尼經【宋 法天譯】
